Name,wins,losses,Win Points,Win Advantages,Win Submissions,Win Decision,Win Penalties,Win EBI / OT,Win DQ,Losses Points,Losses Advantages,Losses Submissions,Losses Decision,Losses Penalties,Losses EBI / OT,Losses DQ
Johnatha Alves,47 WINS,7 LOSSES,17,1,24,4,0,0,0,3,2,0,2,0,0,0
Jon Calestine,12 WINS,5 LOSSES,0,0,10,1,0,1,0,4,0,0,1,0,0,0
Jonathan Thomas,15 WINS,5 LOSSES,5,0,10,0,0,0,0,1,1,1,2,0,0,0
Jonas Andrade,57 WINS,14 LOSSES,20,5,27,3,1,0,0,7,3,2,1,0,0,1
Jonnatas Gracie,29 WINS,14 LOSSES,9,1,9,8,0,2,0,3,0,6,3,0,2,0
Jordan Vaisman,6 WINS,3 LOSSES,2,2,1,0,0,0,0,2,0,0,1,0,0,0
Jose Carlos,12 WINS,2 LOSSES,3,0,9,0,0,0,0,0,0,2,0,0,0,0
José Mario Sperry,17 WINS,5 LOSSES,7,1,8,1,0,0,0,3,1,0,0,1,0,0
Joe Dierkhising,10 WINS,7 LOSSES,0,0,9,1,0,0,0,5,1,1,0,0,0,0
Josh Hinger,115 WINS,36 LOSSES,21,4,77,8,1,2,0,12,3,17,3,0,1,0
Josh Cisneros,24 WINS,8 LOSSES,5,4,12,3,0,0,0,3,0,3,1,0,0,0
Juan Caio Kamezawa,21 WINS,14 LOSSES,11,1,9,0,0,0,0,6,4,2,2,0,0,0
Júlio dos Anjos,34 WINS,19 LOSSES,11,5,15,3,0,0,0,9,3,4,3,0,0,0
Jurandir Conceição,34 WINS,27 LOSSES,11,2,21,0,0,0,0,13,4,9,0,0,0,1
Justin Rader,26 WINS,13 LOSSES,15,2,5,4,0,0,0,3,2,5,3,0,0,0
JT Torres,86 WINS,28 LOSSES,31,6,41,3,3,0,2,16,9,3,0,0,0,0
Kauan Barboza,34 WINS,22 LOSSES,12,6,9,2,0,0,5,7,1,8,6,0,0,0
Keenan Cornelius,183 WINS,34 LOSSES,54,5,113,9,0,0,2,20,3,3,6,0,0,2
Keith Krikorian,31 WINS,9 LOSSES,4,0,23,0,0,4,0,2,0,4,1,0,2,0
Kade Ruotolo,17 WINS,2 LOSSES,3,0,8,5,0,0,0,0,0,2,0,0,0,0
Kaynan Duarte,108 WINS,15 LOSSES,43,10,41,14,0,0,0,2,1,6,5,1,0,0
Kennedy Maciel,59 WINS,15 LOSSES,21,3,29,5,0,1,0,4,2,2,5,1,1,0
Kieran Kichuk,41 WINS,11 LOSSES,4,1,33,0,0,3,0,4,1,3,2,0,0,0
Kit Dale,30 WINS,17 LOSSES,16,0,11,2,0,0,0,7,1,7,2,0,0,0
Kody Steele,16 WINS,8 LOSSES,4,0,2,8,1,1,0,1,0,2,4,0,1,0
Kron Gracie,29 WINS,11 LOSSES,1,1,23,2,1,0,1,7,1,3,0,0,0,0
Kayron Gracie,14 WINS,5 LOSSES,8,1,5,0,0,0,0,1,0,4,0,0,0,0
Kyle Boehm,16 WINS,4 LOSSES,0,0,9,0,1,6,0,2,0,1,1,0,0,0
Lachlan Giles,36 WINS,17 LOSSES,6,3,23,3,0,1,0,5,3,6,3,0,0,0
Leandro Lo,262 WINS,38 LOSSES,167,31,53,7,0,0,3,12,10,10,5,0,0,0
Leon Brito,25 WINS,13 LOSSES,10,1,12,1,0,0,1,8,0,4,1,0,0,0
Leon Larman,36 WINS,15 LOSSES,8,1,24,3,0,0,0,7,1,3,2,0,0,2
